Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,500,40,20,10,22.10764
0.001,500,40,20,20,22.10764
0.001,500,40,20,30,22.10764
0.001,500,40,20,100,22.10764
0.01,10,2,1,5,32.44068
0.01,10,2,1,10,32.4037
0.01,10,2,1,20,32.40282
0.01,10,2,1,30,32.402680000000004
0.01,10,2,1,100,32.40268
0.01,10,2,5,5,32.4415
0.01,10,2,5,10,32.38216
0.01,10,2,5,20,32.38216
0.01,10,2,5,30,32.38216
0.01,10,2,5,100,32.38216
0.01,10,2,10,5,32.44376000000001
0.01,10,2,10,10,32.3915
0.01,10,2,10,20,32.3915
0.01,10,2,10,30,32.3915
0.01,10,2,10,100,32.3915
0.01,10,2,20,5,32.45132
0.01,10,2,20,10,32.431400000000004
0.01,10,2,20,20,32.431400000000004
0.01,10,2,20,30,32.431400000000004
0.01,10,2,20,100,32.431400000000004
0.01,10,6,1,5,32.44044
0.01,10,6,1,10,32.38682000000001
0.01,10,6,1,20,32.38448
0.01,10,6,1,30,32.38448
0.01,10,6,1,100,32.38448
0.01,10,6,5,5,32.4415
0.01,10,6,5,10,32.38216
0.01,10,6,5,20,32.38216
0.01,10,6,5,30,32.38216
0.01,10,6,5,100,32.38216
0.01,10,6,10,5,32.44376000000001
0.01,10,6,10,10,32.3915
0.01,10,6,10,20,32.3915
0.01,10,6,10,30,32.3915
0.01,10,6,10,100,32.3915
0.01,10,6,20,5,32.45132
0.01,10,6,20,10,32.431400000000004
0.01,10,6,20,20,32.431400000000004
0.01,10,6,20,30,32.431400000000004
0.01,10,6,20,100,32.431400000000004
0.01,10,10,1,5,32.44056
0.01,10,10,1,10,32.3845
0.01,10,10,1,20,32.3844
0.01,10,10,1,30,32.3844
0.01,10,10,1,100,32.3844
0.01,10,10,5,5,32.4415
0.01,10,10,5,10,32.38216
0.01,10,10,5,20,32.38216
0.01,10,10,5,30,32.38216
0.01,10,10,5,100,32.38216
0.01,10,10,10,5,32.44376000000001
0.01,10,10,10,10,32.3915
0.01,10,10,10,20,32.3915
0.01,10,10,10,30,32.3915
0.01,10,10,10,100,32.3915
0.01,10,10,20,5,32.45132
0.01,10,10,20,10,32.431400000000004
0.01,10,10,20,20,32.431400000000004
0.01,10,10,20,30,32.431400000000004
0.01,10,10,20,100,32.431400000000004
0.01,10,20,1,5,32.44104
0.01,10,20,1,10,32.38305999999999
0.01,10,20,1,20,32.38305999999999
0.01,10,20,1,30,32.38305999999999
0.01,10,20,1,100,32.38305999999999
0.01,10,20,5,5,32.44199999999999
0.01,10,20,5,10,32.384339999999995
0.01,10,20,5,20,32.384339999999995
0.01,10,20,5,30,32.384339999999995
0.01,10,20,5,100,32.384339999999995
0.01,10,20,10,5,32.44376000000001
0.01,10,20,10,10,32.3915
0.01,10,20,10,20,32.3915
0.01,10,20,10,30,32.3915
0.01,10,20,10,100,32.3915
0.01,10,20,20,5,32.45132
