n_neighbors,weights,algorithm,leaf_size,p,MMRE-
13,uniform,auto,30,1,9.00306
13,uniform,auto,30,2,9.282279999999998
13,uniform,auto,40,1,9.00306
13,uniform,auto,40,2,9.282279999999998
13,uniform,auto,50,1,9.00306
13,uniform,auto,50,2,9.282279999999998
13,uniform,auto,100,1,9.00308
13,uniform,auto,100,2,9.282279999999998
13,uniform,ball_tree,10,1,9.0031
13,uniform,ball_tree,10,2,9.282279999999998
13,uniform,ball_tree,20,1,9.00308
13,uniform,ball_tree,20,2,9.282279999999998
13,uniform,ball_tree,30,1,9.00308
13,uniform,ball_tree,30,2,9.282279999999998
13,uniform,ball_tree,40,1,9.003039999999999
13,uniform,ball_tree,40,2,9.282279999999998
13,uniform,ball_tree,50,1,9.003039999999999
13,uniform,ball_tree,50,2,9.282279999999998
13,uniform,ball_tree,100,1,9.003039999999999
13,uniform,ball_tree,100,2,9.282279999999998
13,uniform,kd_tree,10,1,9.00306
13,uniform,kd_tree,10,2,9.282279999999998
13,uniform,kd_tree,20,1,9.00306
13,uniform,kd_tree,20,2,9.282279999999998
13,uniform,kd_tree,30,1,9.00306
13,uniform,kd_tree,30,2,9.282279999999998
13,uniform,kd_tree,40,1,9.00306
13,uniform,kd_tree,40,2,9.282279999999998
13,uniform,kd_tree,50,1,9.00306
13,uniform,kd_tree,50,2,9.282279999999998
13,uniform,kd_tree,100,1,9.00308
13,uniform,kd_tree,100,2,9.282279999999998
13,uniform,brute,10,1,9.00306
13,uniform,brute,10,2,9.282279999999998
13,uniform,brute,20,1,9.00306
13,uniform,brute,20,2,9.282279999999998
13,uniform,brute,30,1,9.00306
13,uniform,brute,30,2,9.282279999999998
13,uniform,brute,40,1,9.00306
13,uniform,brute,40,2,9.282279999999998
13,uniform,brute,50,1,9.00306
13,uniform,brute,50,2,9.282279999999998
13,uniform,brute,100,1,9.00306
13,uniform,brute,100,2,9.282279999999998
13,distance,auto,10,1,6.94094
13,distance,auto,10,2,7.1577399999999995
13,distance,auto,20,1,6.94094
13,distance,auto,20,2,7.1577399999999995
13,distance,auto,30,1,6.94094
13,distance,auto,30,2,7.1577399999999995
13,distance,auto,40,1,6.94094
13,distance,auto,40,2,7.1577399999999995
13,distance,auto,50,1,6.94094
13,distance,auto,50,2,7.1577399999999995
13,distance,auto,100,1,6.94092
13,distance,auto,100,2,7.1577399999999995
13,distance,ball_tree,10,1,6.94096
13,distance,ball_tree,10,2,7.1577399999999995
13,distance,ball_tree,20,1,6.94092
13,distance,ball_tree,20,2,7.1577399999999995
13,distance,ball_tree,30,1,6.94092
13,distance,ball_tree,30,2,7.1577399999999995
13,distance,ball_tree,40,1,6.94092
13,distance,ball_tree,40,2,7.1577399999999995
13,distance,ball_tree,50,1,6.94092
13,distance,ball_tree,50,2,7.1577399999999995
13,distance,ball_tree,100,1,6.94092
13,distance,ball_tree,100,2,7.1577399999999995
13,distance,kd_tree,10,1,6.94094
13,distance,kd_tree,10,2,7.1577399999999995
13,distance,kd_tree,20,1,6.94094
13,distance,kd_tree,20,2,7.1577399999999995
13,distance,kd_tree,30,1,6.94094
13,distance,kd_tree,30,2,7.1577399999999995
13,distance,kd_tree,40,1,6.94094
13,distance,kd_tree,40,2,7.1577399999999995
13,distance,kd_tree,50,1,6.94094
13,distance,kd_tree,50,2,7.1577399999999995
13,distance,kd_tree,100,1,6.94092
13,distance,kd_tree,100,2,7.1577399999999995
13,distance,brute,10,1,6.94094
13,distance,brute,10,2,7.1577399999999995
13,distance,brute,20,1,6.94094
13,distance,brute,20,2,7.1577399999999995
13,distance,brute,30,1,6.94094
13,distance,brute,30,2,7.1577399999999995
13,distance,brute,40,1,6.94094
13,distance,brute,40,2,7.1577399999999995
13,distance,brute,50,1,6.94094
13,distance,brute,50,2,7.1577399999999995
13,distance,brute,100,1,6.94094
13,distance,brute,100,2,7.1577399999999995
15,uniform,auto,10,1,9.0122
