N_estimators,criterion,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,Error-
10,squared_error,10,40,10,log2,0.1,0.14600000000000002
10,squared_error,10,40,10,log2,0.2,0.14
10,squared_error,10,40,10,log2,0.3,0.134
10,squared_error,10,40,20,None,0.0,0.15200000000000002
10,squared_error,10,40,20,None,0.1,0.14800000000000002
10,squared_error,10,40,20,None,0.2,0.148
10,squared_error,10,40,20,None,0.3,0.14400000000000002
10,squared_error,10,40,20,sqrt,0.0,0.176
10,squared_error,10,40,20,sqrt,0.1,0.16
10,squared_error,10,40,20,sqrt,0.2,0.166
10,squared_error,10,40,20,sqrt,0.3,0.158
10,squared_error,10,40,20,log2,0.0,0.154
10,squared_error,10,40,20,log2,0.1,0.164
10,squared_error,10,40,20,log2,0.2,0.158
10,squared_error,10,40,20,log2,0.3,0.16599999999999998
10,squared_error,20,2,1,None,0.0,0.032
10,squared_error,20,2,1,None,0.1,0.03
10,squared_error,20,2,1,None,0.2,0.032
10,squared_error,20,2,1,None,0.3,0.03
10,squared_error,20,2,1,sqrt,0.0,0.057999999999999996
10,squared_error,20,2,1,sqrt,0.1,0.057999999999999996
10,squared_error,20,2,1,sqrt,0.2,0.05800000000000001
10,squared_error,20,2,1,sqrt,0.3,0.06
10,squared_error,20,2,1,log2,0.0,0.05600000000000001
10,squared_error,20,2,1,log2,0.1,0.05800000000000001
10,squared_error,20,2,1,log2,0.2,0.052000000000000005
10,squared_error,20,2,1,log2,0.3,0.054000000000000006
10,squared_error,20,2,5,None,0.0,0.034
10,squared_error,20,2,5,None,0.1,0.032
10,squared_error,20,2,5,None,0.2,0.036
10,squared_error,20,2,5,None,0.3,0.038
10,squared_error,20,2,5,sqrt,0.0,0.086
10,squared_error,20,2,5,sqrt,0.1,0.088
10,squared_error,20,2,5,sqrt,0.2,0.088
10,squared_error,20,2,5,sqrt,0.3,0.10200000000000001
10,squared_error,20,2,5,log2,0.0,0.09
10,squared_error,20,2,5,log2,0.1,0.09
10,squared_error,20,2,5,log2,0.2,0.09400000000000001
10,squared_error,20,2,5,log2,0.3,0.09400000000000001
10,squared_error,20,2,10,None,0.0,0.07
10,squared_error,20,2,10,None,0.1,0.078
10,squared_error,20,2,10,None,0.2,0.07
10,squared_error,20,2,10,None,0.3,0.07200000000000001
10,squared_error,20,2,10,sqrt,0.0,0.126
10,squared_error,20,2,10,sqrt,0.1,0.11599999999999999
10,squared_error,20,2,10,sqrt,0.2,0.122
10,squared_error,20,2,10,sqrt,0.3,0.124
10,squared_error,20,2,10,log2,0.0,0.12
10,squared_error,20,2,10,log2,0.1,0.134
10,squared_error,20,2,10,log2,0.2,0.124
10,squared_error,20,2,10,log2,0.3,0.128
10,squared_error,20,2,20,None,0.0,0.15
10,squared_error,20,2,20,None,0.1,0.154
10,squared_error,20,2,20,None,0.2,0.138
10,squared_error,20,2,20,None,0.3,0.14800000000000002
10,squared_error,20,2,20,sqrt,0.0,0.162
10,squared_error,20,2,20,sqrt,0.1,0.16
